placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante
93,96,2009-05-13,15,2,2008-2009,Paulistano,Pinheiros,77.17857142857143,21.214285714285715,39.92857142857143,16.035714285714285,31.25,10.785714285714286,20.464285714285715,13.928571428571429,87.07142857142857,27.75,40.92857142857143,18.392857142857142,32.035714285714285,9.142857142857142,22.892857142857142,15.535714285714286
82,74,2009-05-13,15,2,2008-2009,Limeira,Coop/São José Basketball,85.67857142857143,27.214285714285715,40.214285714285715,18.25,29.785714285714285,7.5,22.285714285714285,17.0,77.28571428571429,24.535714285714285,37.714285714285715,15.035714285714286,29.857142857142858,9.714285714285714,20.142857142857142,13.107142857142858
79,69,2009-05-13,15,2,2008-2009,Espírito Santo,Saldanha,75.0,20.035714285714285,39.642857142857146,15.321428571428571,28.535714285714285,7.857142857142857,20.678571428571427,12.428571428571429,72.75,22.607142857142858,37.214285714285715,12.928571428571429,29.5,9.857142857142858,19.642857142857142,11.25
95,70,2009-05-13,15,2,2008-2009,Sesi Franca,Araraquara,84.67857142857143,22.071428571428573,45.142857142857146,17.464285714285715,31.0,9.285714285714286,21.714285714285715,16.821428571428573,74.71428571428571,24.321428571428573,36.07142857142857,14.321428571428571,28.535714285714285,7.107142857142857,21.428571428571427,15.357142857142858
63,72,2009-05-13,15,2,2008-2009,Lajeado,Joinville,72.96428571428571,18.428571428571427,39.42857142857143,15.107142857142858,26.892857142857142,8.607142857142858,18.285714285714285,11.464285714285714,82.78571428571429,29.142857142857142,38.42857142857143,15.214285714285714,33.57142857142857,9.142857142857142,24.428571428571427,16.071428571428573
88,68,2009-05-13,15,2,2008-2009,Bauru Basket,Assis,81.71428571428571,26.464285714285715,40.42857142857143,14.821428571428571,29.821428571428573,9.142857142857142,20.678571428571427,13.285714285714286,74.21428571428571,22.285714285714285,33.42857142857143,18.5,28.642857142857142,7.75,20.892857142857142,11.357142857142858
87,77,2009-05-15,1,4,2008-2009,Limeira,Joinville,85.72413793103448,27.20689655172414,40.275862068965516,18.24137931034483,29.689655172413794,7.413793103448276,22.275862068965516,17.06896551724138,82.58620689655173,29.482758620689655,37.793103448275865,15.310344827586206,33.44827586206897,9.206896551724139,24.24137931034483,16.103448275862068
87,92,2009-05-16,1,4,2008-2009,Pinheiros,Flamengo,87.06896551724138,28.03448275862069,40.758620689655174,18.275862068965516,31.896551724137932,9.068965517241379,22.82758620689655,15.620689655172415,93.37931034482759,29.689655172413794,44.55172413793103,19.137931034482758,33.13793103448276,8.724137931034482,24.413793103448278,17.82758620689655
79,83,2009-05-17,1,4,2008-2009,Bauru Basket,Minas,81.62068965517241,26.586206896551722,40.206896551724135,14.827586206896552,29.93103448275862,9.206896551724139,20.724137931034484,13.379310344827585,86.58620689655173,23.379310344827587,46.758620689655174,16.448275862068964,35.0,9.724137931034482,25.275862068965516,17.482758620689655
76,78,2009-05-17,1,4,2008-2009,Sesi Franca,Brasília,84.37931034482759,22.24137931034483,44.62068965517241,17.517241379310345,30.862068965517242,9.275862068965518,21.586206896551722,16.79310344827586,86.82758620689656,22.655172413793103,44.55172413793103,19.620689655172413,32.758620689655174,7.931034482758621,24.82758620689655,15.551724137931034
92,85,2009-05-18,2,4,2008-2009,Flamengo,Pinheiros,93.33333333333333,29.9,44.53333333333333,18.9,33.13333333333333,8.6,24.533333333333335,18.033333333333335,87.0,28.2,40.666666666666664,18.133333333333333,32.13333333333333,9.366666666666667,22.766666666666666,15.666666666666666
85,75,2009-05-18,2,4,2008-2009,Joinville,Limeira,82.66666666666667,29.2,38.06666666666667,15.4,33.86666666666667,9.333333333333334,24.533333333333335,16.066666666666666,85.36666666666666,26.9,40.266666666666666,18.2,29.566666666666666,7.366666666666666,22.2,16.9
87,84,2009-05-19,3,4,2008-2009,Flamengo,Pinheiros,93.12903225806451,29.516129032258064,44.645161290322584,18.967741935483872,33.25806451612903,8.64516129032258,24.612903225806452,17.838709677419356,86.90322580645162,28.35483870967742,40.70967741935484,17.838709677419356,32.03225806451613,9.290322580645162,22.741935483870968,15.612903225806452
96,105,2009-05-19,2,4,2008-2009,Brasília,Sesi Franca,87.13333333333334,22.7,44.6,19.833333333333332,33.166666666666664,8.2,24.966666666666665,15.4,85.06666666666666,22.2,44.6,18.266666666666666,30.9,9.1,21.8,16.533333333333335
74,47,2009-05-19,2,4,2008-2009,Minas,Bauru Basket,86.16666666666667,23.1,46.733333333333334,16.333333333333332,35.266666666666666,9.7,25.566666666666666,17.333333333333332,80.46666666666667,26.5,39.53333333333333,14.433333333333334,29.766666666666666,9.2,20.566666666666666,13.3
77,63,2009-05-19,3,4,2008-2009,Joinville,Limeira,82.48387096774194,29.322580645161292,37.87096774193548,15.290322580645162,34.225806451612904,9.516129032258064,24.70967741935484,16.193548387096776,84.64516129032258,26.70967741935484,40.0,17.93548387096774,29.35483870967742,7.290322580645161,22.06451612903226,16.870967741935484
