placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante
94,69,2009-04-24,10,2,2008-2009,Joinville,Araraquara,82.83333333333333,28.625,38.916666666666664,15.291666666666666,34.166666666666664,9.75,24.416666666666668,16.291666666666668,75.82608695652173,25.434782608695652,35.30434782608695,15.08695652173913,28.608695652173914,7.0,21.608695652173914,15.347826086956522
82,89,2009-04-24,10,2,2008-2009,Lajeado,Sesi Franca,73.47826086956522,17.869565217391305,39.65217391304348,15.956521739130435,27.17391304347826,8.826086956521738,18.347826086956523,11.0,83.56521739130434,21.52173913043478,44.608695652173914,17.434782608695652,31.0,9.347826086956522,21.652173913043477,15.956521739130435
89,68,2009-04-24,10,2,2008-2009,Flamengo,Espírito Santo,95.04347826086956,31.434782608695652,45.65217391304348,17.956521739130434,32.69565217391305,8.73913043478261,23.956521739130434,18.26086956521739,75.0,19.956521739130434,39.21739130434783,15.826086956521738,27.434782608695652,7.695652173913044,19.73913043478261,12.0
82,77,2009-04-29,11,2,2008-2009,Brasília,Minas,86.92,22.08,45.2,19.64,32.96,8.16,24.8,15.48,87.54166666666667,23.5,47.666666666666664,16.375,35.25,9.958333333333334,25.291666666666668,17.0
94,87,2009-04-29,11,2,2008-2009,Assis,Lajeado,76.04347826086956,22.565217391304348,34.08695652173913,19.391304347826086,28.782608695652176,8.217391304347826,20.565217391304348,11.608695652173912,74.04166666666667,17.875,40.0,16.166666666666668,27.25,8.833333333333334,18.416666666666668,11.375
89,86,2009-04-29,11,2,2008-2009,Bauru Basket,Joinville,81.45833333333333,26.375,39.666666666666664,15.416666666666666,29.375,8.791666666666666,20.583333333333332,13.208333333333334,82.96,28.56,39.04,15.36,33.92,9.52,24.4,16.28
95,87,2009-04-29,11,2,2008-2009,Pinheiros,Sesi Franca,86.33333333333333,27.625,40.75,17.958333333333332,31.375,9.041666666666666,22.333333333333332,15.291666666666666,84.04166666666667,21.5,45.333333333333336,17.208333333333332,30.791666666666668,9.291666666666666,21.5,16.25
78,62,2009-04-29,11,2,2008-2009,Paulistano,Araraquara,76.33333333333333,21.5,39.583333333333336,15.25,31.291666666666668,10.583333333333334,20.708333333333332,14.291666666666666,75.25,25.25,35.25,14.75,28.125,6.916666666666667,21.208333333333332,15.083333333333334
69,64,2009-04-29,11,2,2008-2009,Coop/São José Basketball,Espírito Santo,76.08333333333333,23.625,37.666666666666664,14.791666666666666,28.75,9.458333333333334,19.291666666666668,12.625,74.54166666666667,19.875,38.833333333333336,15.833333333333334,27.291666666666668,7.666666666666667,19.625,11.958333333333334
89,71,2009-04-29,11,2,2008-2009,Limeira,Saldanha,85.16666666666667,27.0,39.916666666666664,18.25,29.708333333333332,7.25,22.458333333333332,16.708333333333332,72.5,23.375,36.416666666666664,12.708333333333334,29.958333333333332,10.083333333333334,19.875,10.875
92,100,2009-05-01,12,2,2008-2009,Brasília,Flamengo,87.11538461538461,22.5,44.76923076923077,19.846153846153847,32.61538461538461,7.923076923076923,24.692307692307693,15.384615384615385,95.25,31.0,45.333333333333336,18.916666666666668,32.875,8.833333333333334,24.041666666666668,18.166666666666668
73,63,2009-05-01,12,2,2008-2009,Bauru Basket,Lajeado,81.12,26.28,39.68,15.16,29.28,8.84,20.44,13.16,73.6,18.24,39.76,15.6,27.0,8.6,18.4,11.4
76,87,2009-05-01,12,2,2008-2009,Assis,Joinville,76.04166666666667,22.5,34.25,19.291666666666668,28.875,7.958333333333333,20.916666666666668,11.708333333333334,83.11538461538461,29.192307692307693,38.69230769230769,15.23076923076923,33.57692307692308,9.23076923076923,24.346153846153847,16.23076923076923
101,69,2009-05-01,12,2,2008-2009,Pinheiros,Araraquara,86.92,27.36,41.44,18.12,31.84,9.12,22.72,15.4,75.0,25.32,35.2,14.48,28.08,6.84,21.24,15.12
85,88,2009-05-01,12,2,2008-2009,Limeira,Espírito Santo,85.16,27.0,39.84,18.32,29.64,7.32,22.32,16.76,75.08,20.16,39.28,15.64,27.6,7.6,20.0,12.32
88,77,2009-05-01,12,2,2008-2009,Coop/São José Basketball,Saldanha,76.56,23.52,37.92,15.12,29.0,9.44,19.56,12.56,72.68,23.64,36.24,12.8,29.72,9.96,19.76,11.28
