placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante
88,67,2009-03-23,2,2,2008-2009,Sesi Franca,Espírito Santo,86.0,21.2,47.333333333333336,17.466666666666665,32.6,10.133333333333333,22.466666666666665,17.133333333333333,74.33333333333333,20.0,39.6,14.733333333333333,26.533333333333335,7.2,19.333333333333332,10.933333333333334
86,81,2009-03-25,1,2,2008-2009,Flamengo,Pinheiros,95.14285714285714,31.928571428571427,46.142857142857146,17.071428571428573,31.5,9.214285714285714,22.285714285714285,17.785714285714285,85.4,29.2,37.6,18.6,32.2,9.4,22.8,14.866666666666667
83,76,2009-03-25,1,2,2008-2009,Lajeado,Coop/São José Basketball,72.85714285714286,17.357142857142858,38.857142857142854,16.642857142857142,28.857142857142858,10.0,18.857142857142858,10.071428571428571,78.4,27.2,36.4,14.8,26.533333333333335,8.133333333333333,18.4,13.666666666666666
80,86,2009-03-25,1,2,2008-2009,Assis,Brasília,77.57142857142857,23.571428571428573,33.57142857142857,20.428571428571427,29.0,7.928571428571429,21.071428571428573,11.357142857142858,86.46666666666667,22.4,44.666666666666664,19.4,35.46666666666667,8.866666666666667,26.6,15.2
96,83,2009-03-25,1,2,2008-2009,Minas,Paulistano,86.46153846153847,21.923076923076923,48.46153846153846,16.076923076923077,34.84615384615385,10.615384615384615,24.23076923076923,16.23076923076923,75.46666666666667,21.4,39.86666666666667,14.2,31.4,11.2,20.2,14.466666666666667
98,107,2009-03-25,1,2,2008-2009,Joinville,Limeira,82.92857142857143,28.071428571428573,40.0,14.857142857142858,35.714285714285715,9.357142857142858,26.357142857142858,16.214285714285715,86.53333333333333,28.4,38.666666666666664,19.466666666666665,29.4,7.333333333333333,22.066666666666666,16.466666666666665
92,73,2009-03-25,1,2,2008-2009,Sesi Franca,Saldanha,86.375,20.8125,47.75,17.8125,32.0,9.9375,22.0625,17.25,73.66666666666667,21.4,40.0,12.266666666666667,29.666666666666668,10.266666666666667,19.4,9.8
97,91,2009-03-25,1,2,2008-2009,Araraquara,Espírito Santo,76.73333333333333,27.0,36.266666666666666,13.466666666666667,29.8,6.866666666666666,22.933333333333334,16.4,75.375,19.5,40.5,15.375,26.4375,7.3125,19.125,11.1875
105,71,2009-03-27,2,2,2008-2009,Flamengo,Paulistano,95.8,31.8,46.4,17.6,31.733333333333334,9.533333333333333,22.2,18.466666666666665,75.1875,21.1875,39.875,14.125,31.25,10.9375,20.3125,14.625
100,97,2009-03-27,2,2,2008-2009,Bauru Basket,Brasília,79.46666666666667,24.4,40.13333333333333,14.933333333333334,28.333333333333332,7.6,20.733333333333334,12.866666666666667,87.125,22.3125,45.0,19.8125,34.6875,8.625,26.0625,14.9375
91,70,2009-03-27,2,2,2008-2009,Minas,Pinheiros,86.78571428571429,22.5,48.42857142857143,15.857142857142858,35.214285714285715,10.5,24.714285714285715,16.5,84.4375,28.5,37.875,18.0625,31.4375,9.25,22.1875,14.6875
83,79,2009-03-27,2,2,2008-2009,Joinville,Coop/São José Basketball,82.93333333333334,27.8,40.0,15.133333333333333,35.53333333333333,9.266666666666667,26.266666666666666,16.4,78.4375,26.4375,37.25,14.75,27.4375,8.3125,19.125,13.25
82,87,2009-03-27,2,2,2008-2009,Lajeado,Limeira,73.46666666666667,18.0,39.06666666666667,16.4,29.4,9.933333333333334,19.466666666666665,10.333333333333334,86.5625,27.375,39.75,19.4375,29.4375,7.375,22.0625,16.25
77,63,2009-03-27,2,2,2008-2009,Araraquara,Saldanha,76.625,26.25,36.875,13.5,29.9375,7.25,22.6875,16.5625,73.0,21.5625,39.625,11.8125,29.5,10.0625,19.4375,10.125
76,65,2009-03-30,4,2,2008-2009,Flamengo,Limeira,94.5625,30.9375,46.125,17.5,32.1875,9.5,22.6875,18.0625,85.29411764705883,27.0,39.1764705882353,19.11764705882353,29.647058823529413,7.411764705882353,22.235294117647058,16.294117647058822
63,70,2009-04-01,3,2,2008-2009,Espírito Santo,Joinville,74.6470588235294,19.764705882352942,39.76470588235294,15.117647058823529,26.941176470588236,7.176470588235294,19.764705882352942,11.470588235294118,82.125,27.375,39.75,15.0,35.375,9.375,26.0,16.25
