placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante
82,87,2009-02-03,3,1,2008-2009,Araraquara,Sesi Franca,70.0,23.0,36.666666666666664,10.333333333333334,28.666666666666668,6.666666666666667,22.0,10.333333333333334,83.33333333333333,20.0,45.333333333333336,18.0,30.333333333333332,6.0,24.333333333333332,13.666666666666666
78,56,2009-02-03,3,1,2008-2009,Joinville,Lajeado,91.66666666666667,35.0,42.666666666666664,14.0,31.0,9.0,22.0,20.333333333333332,65.33333333333333,13.0,36.0,16.333333333333332,33.0,11.666666666666666,21.333333333333332,11.0
85,102,2009-02-03,3,1,2008-2009,Minas,Flamengo,80.66666666666667,20.0,46.666666666666664,14.0,31.333333333333332,8.666666666666666,22.666666666666668,19.0,96.0,37.0,45.333333333333336,13.666666666666666,30.0,12.666666666666666,17.333333333333332,17.0
78,77,2009-02-03,3,1,2008-2009,Assis,Bauru Basket,76.5,21.0,36.0,19.5,28.5,8.5,20.0,10.5,71.0,13.5,44.0,13.5,27.5,5.5,22.0,6.5
70,65,2009-02-11,4,1,2008-2009,Joinville,Espírito Santo,86.25,33.75,38.5,14.0,32.75,7.75,25.0,19.0,72.5,15.75,44.5,12.25,29.25,8.25,21.0,10.0
77,80,2009-02-11,4,1,2008-2009,Lajeado,Saldanha,68.25,11.25,41.0,16.0,32.25,12.0,20.25,11.0,76.5,21.0,40.0,15.5,30.0,8.0,22.0,6.5
79,85,2009-02-11,4,1,2008-2009,Limeira,Minas,80.0,30.0,32.0,18.0,30.5,8.25,22.25,15.25,81.75,22.5,44.0,15.25,35.0,10.25,24.75,19.25
72,90,2009-02-11,4,1,2008-2009,Coop/São José Basketball,Flamengo,79.75,26.25,38.0,15.5,27.25,7.5,19.75,13.75,94.5,35.25,46.0,13.25,31.25,11.5,19.75,15.0
68,73,2009-02-11,4,1,2008-2009,Assis,Paulistano,73.66666666666667,19.0,33.333333333333336,21.333333333333332,30.333333333333332,10.333333333333334,20.0,12.0,76.75,24.75,37.5,14.5,30.75,11.5,19.25,18.75
88,82,2009-02-11,4,1,2008-2009,Bauru Basket,Pinheiros,76.66666666666667,17.0,44.666666666666664,15.0,27.333333333333332,5.0,22.333333333333332,8.333333333333334,83.25,27.75,36.0,19.5,34.5,9.25,25.25,15.75
77,64,2009-02-12,4,1,2008-2009,Araraquara,Brasília,71.75,22.5,35.5,13.75,30.0,7.25,22.75,11.5,76.0,21.0,42.0,13.0,34.333333333333336,9.666666666666666,24.666666666666668,14.0
59,66,2009-02-13,5,1,2008-2009,Sesi Franca,Brasília,77.75,19.5,42.5,15.75,31.0,8.0,23.0,13.0,73.5,18.75,44.0,10.75,37.0,10.75,26.25,13.5
93,50,2009-02-13,5,1,2008-2009,Joinville,Saldanha,87.6,31.2,42.0,14.4,35.4,8.2,27.2,19.4,71.2,19.8,37.6,13.8,30.6,8.8,21.8,5.6
84,93,2009-02-13,5,1,2008-2009,Lajeado,Espírito Santo,71.4,13.2,40.8,17.4,30.6,11.8,18.8,9.6,76.6,19.2,43.2,14.2,28.2,7.0,21.2,9.4
108,101,2009-02-13,5,1,2008-2009,Limeira,Flamengo,85.6,32.4,33.2,20.0,30.2,8.6,21.6,16.4,95.8,35.4,44.0,16.4,29.6,10.6,19.0,16.4
88,89,2009-02-13,5,1,2008-2009,Coop/São José Basketball,Minas,81.4,28.2,37.2,16.0,26.6,7.2,19.4,13.8,83.2,23.4,45.2,14.6,36.0,10.8,25.2,19.4
