placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
79,69,2024-03-20,9,2,2023-2024,Fortaleza B. C. / CFO,Minas,80.3,22.2,41.4,16.7,38.3,9.1,29.2,16.6,15.2,1.192,7.4,22.7,30.7,20.7,36.5,56.53099999999999,16.7,22.6,74.13,1.8,6.1,0.41600000000000004,1.6,19.7,0.08199999999999999,15.2,2.9,90.7,90.649,35.1,38.899,16.65,40.55,11.248999999999999,29.301,19.299,12.85,1.608,11.701,29.901,39.17999999999999,19.451,33.45,58.134,16.65,22.551,73.62100000000001,2.1,6.0009999999999994,0.48500000000000004,2.101,19.851,0.10600000000000001,12.85,2.35,107.65
106,72,2024-03-20,9,2,2023-2024,Paulistano,União Corinthians,74.2,21.75,38.9,13.55,37.1,9.95,27.15,15.95,13.25,1.424,7.25,24.9,28.639999999999997,19.45,37.95,51.092,13.55,18.9,72.482,1.75,8.85,0.748,2.25,20.4,0.121,13.25,3.35,83.6,81.1,25.5,41.2,14.4,34.7,8.6,26.1,19.3,14.6,1.4789999999999999,8.5,23.9,35.083,20.6,37.0,55.55,14.4,20.1,70.701,0.6,5.9,0.4539999999999999,2.6,20.6,0.127,14.6,3.4,91.5
104,61,2024-03-20,9,2,2023-2024,Mogi,BRB/Brasília,72.7,27.3,32.0,13.4,34.9,11.4,23.5,15.9,13.9,1.179,9.1,26.4,34.144999999999996,16.0,35.9,44.669999999999995,13.4,19.2,68.98599999999999,1.0,6.6,0.477,0.6,23.5,0.024,13.9,2.8,73.8,75.2,29.7,33.0,12.5,32.0,9.6,22.4,14.7,12.2,1.3799999999999997,9.9,28.6,33.813,16.5,36.6,45.56000000000001,12.5,16.8,71.48300000000002,1.3,6.6,0.622,2.2,19.4,0.11700000000000002,12.2,2.6,75.4
74,67,2024-03-20,9,2,2023-2024,São Paulo,Caxias do Sul Basquete,83.25,29.55,39.2,14.5,36.1,8.3,27.8,17.35,13.65,1.281,9.85,28.25,34.875,19.6,33.0,59.245000000000005,14.5,18.35,79.989,1.1,5.65,0.422,2.35,19.75,0.12500000000000003,13.65,1.35,95.4,71.8,17.4,38.6,15.8,33.5,11.4,22.1,16.6,13.6,1.3270000000000002,5.8,24.5,23.644,19.3,37.5,51.849000000000004,15.8,20.7,75.962,1.1,7.3,0.5760000000000001,1.9,21.4,0.09100000000000001,13.6,2.4,75.7
71,69,2024-03-20,9,2,2023-2024,Coop/São José Basketball,Cerrado,79.8,23.7,43.6,12.5,35.7,9.4,26.3,18.3,15.0,1.2550000000000001,7.9,24.0,32.544000000000004,21.8,39.6,55.53800000000001,12.5,17.8,68.045,2.8,7.1,0.487,1.5,21.4,0.069,15.0,3.4,88.2,79.0,26.1,39.4,13.5,36.3,10.2,26.1,14.9,13.9,1.123,8.7,24.4,35.647,19.7,37.3,53.001,13.5,19.0,69.93500000000002,1.1,7.0,0.509,1.5,19.0,0.085,13.9,3.2,86.0
113,95,2024-03-21,9,2,2023-2024,Bauru Basket,Botafogo,82.65,28.35,41.1,13.2,32.95,8.65,24.3,19.7,10.9,1.855,9.45,27.35,34.257000000000005,20.55,36.65,56.447,13.2,18.15,72.78799999999998,1.3,7.1,0.665,2.65,22.2,0.12600000000000003,10.9,1.45,95.2,83.95,27.9,39.4,16.65,34.35,11.1,23.25,17.25,13.55,1.3350000000000002,9.3,28.6,33.02900000000001,19.7,38.8,50.68900000000001,16.65,22.7,71.89599999999999,0.95,6.85,0.507,2.3,21.05,0.10800000000000001,13.55,3.0,86.7
