placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
70,91,2013-05-04,3,4,2012-2013,Uberlândia,Pinheiros,86.1,38.7,41.0,13.6,31.0,7.4,23.6,18.0,9.5,2.1109999999999998,10.5,25.1,42.146,20.5,37.5,55.063,13.6,17.1,81.06700000000001,2.0,6.7,0.732,2.9,18.8,0.16,9.5,1.7,100.9,84.9,33.0,37.4,14.5,28.6,7.1,21.5,17.1,11.5,1.529,11.0,28.7,37.513999999999996,18.7,33.0,58.98299999999999,14.5,19.5,74.91900000000001,1.6,4.9,0.4290000000000001,2.1,20.0,0.10800000000000001,11.5,2.2,89.1
84,64,2013-05-04,3,4,2012-2013,Flamengo,Paulistano,89.5,32.4,45.6,16.6,33.4,9.3,24.1,13.5,12.9,1.1560000000000001,9.1,21.8,42.307,22.8,41.2,54.928,16.6,23.2,72.262,1.8,6.8,0.5860000000000001,1.3,19.0,0.073,12.9,1.3,94.3,79.8,25.8,40.6,13.4,32.8,9.1,23.7,13.6,14.6,0.9800000000000001,8.6,21.5,40.083,20.3,39.2,51.78099999999999,13.4,20.8,63.666,2.3,5.2,0.398,2.3,23.2,0.10700000000000001,14.6,3.3,79.9
70,62,2013-05-06,4,4,2012-2013,Sesi Franca,Bauru Basket,74.7,18.3,43.0,13.4,27.8,7.1,20.7,14.0,11.6,1.3059999999999996,6.1,16.2,37.966,21.5,42.1,51.315,13.4,19.0,69.501,2.6,9.3,0.85,3.3,19.8,0.17600000000000002,11.6,1.8,81.2,79.3,29.7,43.4,11.3,31.7,7.8,23.9,15.9,12.2,1.5539999999999998,8.2,20.7,40.387,21.7,39.1,57.54,11.3,15.8,72.676,1.6,5.9,0.572,1.4,18.2,0.08600000000000001,12.2,2.0,88.5
84,70,2013-05-06,4,4,2012-2013,Coop/São José Basketball,Brasília,70.8,19.5,36.4,14.9,31.0,9.5,21.5,14.1,13.4,1.202,6.5,21.4,30.395999999999997,18.2,38.2,47.527,14.9,19.6,75.696,0.7,5.8,0.4680000000000001,3.2,17.3,0.199,13.4,2.0,71.9,89.0,37.5,41.0,13.2,31.9,7.9,24.0,17.9,14.1,1.3489999999999998,11.6,28.6,40.666000000000004,20.5,37.2,55.05,13.2,16.7,77.77199999999999,1.3,6.6,0.47000000000000003,3.4,21.2,0.16999999999999998,14.1,2.6,99.2
76,89,2013-05-07,4,4,2012-2013,Pinheiros,Uberlândia,84.7,33.3,37.6,13.8,28.4,6.9,21.5,17.3,11.1,1.8039999999999998,11.1,28.4,38.428,18.8,32.4,60.08299999999999,13.8,18.6,74.77199999999999,1.6,5.0,0.516,1.8,20.0,0.094,11.1,2.1,90.4,84.2,33.3,38.6,14.4,30.4,7.7,22.7,17.2,9.8,2.0060000000000002,10.4,25.5,40.782,19.3,36.7,52.991,14.4,18.0,81.55700000000002,2.0,6.4,0.695,2.4,17.5,0.13799999999999998,9.8,2.1,95.2
81,98,2013-05-09,5,4,2012-2013,Brasília,Coop/São José Basketball,86.6,33.9,41.8,13.3,30.8,7.9,22.9,17.3,13.2,1.4129999999999998,10.5,27.1,38.798,20.9,38.5,54.24399999999999,13.3,16.8,78.04499999999999,1.1,6.1,0.47400000000000003,3.2,22.0,0.15300000000000002,13.2,2.3,94.1,71.6,18.9,37.2,15.5,32.1,9.9,22.2,14.7,13.2,1.261,6.3,21.7,28.506999999999994,18.6,38.6,47.949000000000005,15.5,20.6,74.879,0.7,6.2,0.5010000000000001,3.0,17.8,0.181,13.2,1.9,73.9
92,85,2013-05-09,5,4,2012-2013,Uberlândia,Pinheiros,84.5,31.8,38.6,14.1,30.6,7.9,22.7,17.0,10.0,1.9590000000000003,10.6,25.1,42.36,19.3,36.8,52.80999999999999,14.1,17.4,82.58,2.0,6.4,0.683,2.2,17.5,0.128,10.0,2.6,95.4,83.6,33.3,37.0,13.3,27.7,6.5,21.2,16.7,10.9,1.7739999999999998,11.1,28.6,38.160999999999994,18.5,31.6,60.62700000000001,13.3,18.3,73.226,1.6,4.9,0.514,1.8,20.7,0.092,10.9,1.9,88.2
78,71,2013-05-10,5,4,2012-2013,Bauru Basket,Sesi Franca,77.2,24.0,42.6,10.6,32.3,8.2,24.1,15.6,12.4,1.518,8.0,21.5,37.037,21.3,38.6,57.178999999999995,10.6,14.9,72.75900000000001,1.5,5.7,0.5469999999999999,1.6,18.4,0.099,12.4,2.0,84.9,73.8,18.3,43.6,11.9,28.7,7.5,21.2,14.2,11.4,1.3419999999999999,6.1,16.7,37.111000000000004,21.8,42.9,51.036,11.9,16.9,69.501,2.6,8.6,0.807,3.2,19.5,0.17099999999999999,11.4,1.7,80.4
