placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
77,86,2016-12-17,10,1,2016-2017,Vitória,Sesi Franca,72.8,20.4,38.8,13.6,37.6,10.4,27.2,16.0,13.9,1.2360000000000002,6.8,22.7,30.082,19.4,39.5,49.563,13.6,18.9,72.958,1.3,6.8,0.5109999999999999,1.6,20.9,0.079,13.9,3.4,79.5,78.0,22.8,39.6,15.6,31.9,8.0,23.9,15.9,14.5,1.1889999999999998,7.6,22.3,33.81,19.8,35.9,55.309000000000005,15.6,20.5,74.35000000000001,1.8,7.0,0.5210000000000001,2.5,21.6,0.11500000000000002,14.5,3.5,85.1
76,78,2016-12-19,11,1,2016-2017,Pinheiros,VipTech CMB,84.5,19.5,47.8,17.2,38.5,12.3,26.2,17.9,13.0,1.4449999999999998,6.5,24.5,27.007000000000005,23.9,42.8,55.762,17.2,22.6,76.28,3.2,8.6,0.67,2.2,21.6,0.11400000000000002,13.0,3.9,96.4,74.3,27.3,32.6,14.4,35.7,11.1,24.6,14.9,13.7,1.168,9.1,28.2,32.053,16.3,34.1,48.205000000000005,14.4,20.3,71.476,0.9,6.6,0.518,3.2,20.4,0.16499999999999998,13.7,3.2,78.2
59,67,2016-12-20,11,1,2016-2017,Macaé Basquete,Vitória,74.7,23.7,38.0,13.0,33.2,12.0,21.2,15.7,13.7,1.2389999999999999,7.9,24.1,32.148,19.0,41.0,46.698,13.0,17.2,76.002,0.7,7.1,0.5569999999999999,1.0,22.7,0.05299999999999999,13.7,3.5,75.6,73.3,21.0,38.6,13.7,35.2,9.0,26.2,16.4,14.0,1.2590000000000001,7.0,21.9,31.796000000000003,19.3,39.2,49.704,13.7,19.1,72.80699999999999,1.2,6.8,0.507,1.6,21.0,0.079,14.0,3.3,79.1
