Porcentagem de Treino,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
0.2,0.60,0.05,0.45,0.06
0.4,0.60,0.05,0.45,0.06
0.5,0.60,0.05,0.45,0.06
0.6,0.60,0.05,0.45,0.06
0.8,0.61,0.06,0.47,0.07
0.9,0.61,0.08,0.46,0.09
