placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
87,84,2017-04-06,1,3,2016-2017,Fortaleza B. C. / CFO,Paulistano,75.3,28.5,32.4,14.4,36.1,9.9,26.2,14.4,15.4,0.961,9.5,28.4,33.882,16.2,35.8,45.705999999999996,14.4,20.3,69.98100000000001,1.1,7.8,0.529,2.5,22.0,0.11900000000000002,15.4,3.0,76.3,84.5,31.8,38.0,14.7,34.8,9.9,24.9,21.1,14.3,1.582,10.6,26.1,40.935,19.0,35.1,55.199,14.7,19.4,74.935,1.5,7.7,0.547,2.8,20.8,0.146,14.3,2.6,100.3
63,85,2017-04-07,1,3,2016-2017,VipTech CMB,Vitória,76.2,26.4,32.6,17.2,37.4,10.3,27.1,14.0,15.1,1.0759999999999998,8.8,25.2,34.902,16.3,37.1,44.022,17.2,23.4,72.61500000000001,0.8,8.8,0.643,1.5,20.7,0.073,15.1,2.8,79.4,75.5,23.4,38.8,13.3,35.9,9.9,26.0,15.4,14.5,1.16,7.8,25.4,31.189999999999998,19.4,38.9,50.370999999999995,13.3,20.7,63.709999999999994,1.4,9.7,0.718,1.6,22.0,0.076,14.5,3.8,79.1
80,85,2017-04-07,2,3,2016-2017,Pinheiros,R10 Score Vasco da Gama,80.7,20.4,41.8,18.5,35.6,9.3,26.3,18.4,15.3,1.2739999999999998,6.8,17.5,39.712,20.9,40.9,50.818,18.5,26.3,72.049,1.8,6.9,0.4760000000000001,2.1,21.9,0.09999999999999999,15.3,3.4,89.9,74.1,25.5,31.4,17.2,31.0,7.9,23.1,15.3,14.5,1.1099999999999999,8.5,23.6,36.685,15.7,32.5,48.725,17.2,22.8,77.03900000000002,0.4,6.0,0.41,0.5,21.8,0.024,14.5,3.8,74.9
