placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
79,83,2010-03-12,7,2,2009-2010,Pinheiros,Flamengo,91.8,25.5,47.0,19.3,28.4,7.7,20.7,15.2,13.5,1.1840000000000002,8.5,21.2,40.20799999999999,23.5,41.4,56.487,19.3,23.7,80.385,2.3,6.9,0.544,3.9,19.4,0.22199999999999998,13.5,2.3,97.7,97.7,36.9,45.0,15.8,32.2,7.1,25.1,15.1,11.0,1.5639999999999998,12.3,26.9,46.022000000000006,22.5,38.9,57.867,15.8,21.4,74.03,1.9,9.9,1.0130000000000001,3.0,18.8,0.174,11.0,1.6,110.3
91,77,2010-03-14,8,2,2009-2010,Sesi Franca,Joinville,89.8,27.0,42.4,20.4,28.9,7.3,21.6,13.8,11.2,1.464,9.0,21.8,41.495999999999995,21.2,39.6,54.102,20.4,26.1,79.61999999999999,1.3,9.7,0.99,2.7,20.5,0.15,11.2,2.4,96.8,79.7,27.6,34.8,17.3,31.55,8.75,22.8,11.9,13.65,0.8949999999999999,9.2,25.55,36.195,17.4,35.95,48.653,17.3,24.8,67.532,1.75,5.85,0.437,1.55,19.65,0.08499999999999999,13.65,3.0,74.5
81,74,2010-03-14,8,2,2009-2010,Araraquara,Londrina,79.4,27.6,37.8,14.0,29.4,6.6,22.8,13.3,13.9,1.01,9.2,21.0,43.603,18.9,35.4,53.044,14.0,19.2,71.89099999999999,1.9,7.7,0.5860000000000001,2.1,22.7,0.098,13.9,2.8,84.5,77.3,26.4,32.6,18.3,30.3,9.7,20.6,11.6,14.0,0.9099999999999999,8.8,26.6,33.164,16.3,35.7,45.868,18.3,24.2,75.77000000000001,1.0,7.2,0.554,1.9,21.9,0.094,14.0,1.7,71.2
79,56,2010-03-14,8,2,2009-2010,Assis,Saldanha,78.5,25.8,37.8,14.9,30.3,8.6,21.7,12.1,10.1,1.387,8.6,25.2,35.25599999999999,18.9,35.8,52.972,14.9,20.8,70.196,1.3,6.3,0.6689999999999999,2.3,18.4,0.128,10.1,2.5,80.0,70.4,14.1,45.8,10.5,31.4,10.2,21.2,8.5,12.5,0.6759999999999999,4.7,16.6,29.392999999999994,22.9,47.5,48.231,10.5,18.7,57.472,1.9,8.5,0.7270000000000001,2.2,20.2,0.11600000000000002,12.5,3.5,63.8
