placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
72,68,2010-02-07,2,2,2009-2010,Assis,Araraquara,79.1,26.1,37.6,15.4,32.8,9.6,23.2,10.5,12.0,1.0959999999999999,8.7,26.1,32.898,18.8,35.5,53.053,15.4,22.5,67.706,1.9,5.0,0.45899999999999996,2.6,18.5,0.142,12.0,3.3,76.8,75.1,29.7,35.6,9.8,28.0,7.2,20.8,14.9,14.1,1.12,9.9,25.8,39.307,17.8,35.4,50.47,9.8,12.8,76.86600000000001,1.7,7.3,0.5640000000000001,2.5,21.9,0.122,14.1,2.3,77.2
92,87,2010-02-07,2,2,2009-2010,Minas,Pinheiros,91.8,27.6,48.8,15.4,33.3,10.2,23.1,21.2,14.7,1.469,9.2,21.8,42.644,24.4,43.8,55.571000000000005,15.4,18.9,78.526,0.7,8.1,0.57,2.4,20.1,0.126,14.7,2.1,106.6,86.8,30.0,38.4,18.4,30.2,8.4,21.8,13.9,14.2,1.0239999999999998,10.0,23.7,42.722,19.2,36.5,52.254,18.4,23.9,76.92999999999999,2.3,6.5,0.453,2.7,17.8,0.178,14.2,2.8,89.4
105,97,2010-02-07,2,2,2009-2010,Bauru Basket,Sesi Franca,82.7,27.3,41.2,14.2,33.3,10.6,22.7,14.2,9.7,1.7029999999999998,9.1,22.0,41.937,20.6,39.4,52.862,14.2,21.2,66.88999999999999,1.7,6.4,0.765,2.1,15.7,0.146,9.7,2.3,90.3,84.4,30.3,37.4,16.7,27.7,7.7,20.0,11.4,11.9,0.9540000000000001,10.1,24.7,40.010000000000005,18.7,36.6,51.84100000000001,16.7,21.9,75.862,0.3,6.4,0.558,1.6,21.3,0.078,11.9,2.2,81.9
91,75,2010-02-09,10,1,2009-2010,Sesi Franca,Coop/São José Basketball,85.5,28.8,37.8,18.9,27.4,7.5,19.9,11.9,11.6,1.025,9.6,23.8,39.824999999999996,18.9,36.0,53.20700000000001,18.9,24.4,76.922,0.3,6.3,0.5730000000000001,1.6,21.6,0.076,11.6,2.0,84.3,71.2,24.6,35.4,11.2,32.0,10.2,21.8,14.8,15.1,1.054,8.2,24.9,32.951,17.7,32.3,55.754999999999995,11.2,18.2,63.302,1.3,7.5,0.542,1.3,17.9,0.071,15.1,1.5,73.4
68,79,2010-02-10,12,1,2009-2010,Paulistano,Araraquara,70.9,17.4,42.2,11.3,28.3,9.0,19.3,12.2,13.1,0.9959999999999999,5.8,23.0,25.235999999999997,21.1,39.5,53.98499999999999,11.3,18.9,60.227999999999994,1.1,7.1,0.599,2.5,21.0,0.123,13.1,2.6,64.7,74.9,30.9,34.0,10.0,28.0,7.1,20.9,14.2,13.7,1.1010000000000002,10.3,25.6,41.19799999999999,17.0,35.2,48.524,10.0,12.8,77.81800000000001,1.7,7.8,0.6040000000000001,2.1,21.6,0.10600000000000001,13.7,3.0,77.0
79,100,2010-02-10,8,1,2009-2010,Coop/São José Basketball,Pinheiros,71.7,24.9,35.6,11.2,30.4,10.0,20.4,14.9,14.9,1.077,8.3,26.2,31.053999999999995,17.8,31.0,57.50600000000001,11.2,18.3,62.826,1.4,7.3,0.534,1.4,18.5,0.077,14.9,1.5,72.6,89.2,30.3,40.0,18.9,29.7,8.5,21.2,14.8,13.9,1.105,10.1,23.8,42.903,20.0,36.9,53.925,18.9,24.3,78.27899999999998,2.4,6.6,0.4720000000000001,2.5,17.9,0.16499999999999998,13.9,2.2,92.9
74,68,2010-02-12,11,1,2009-2010,Coop/São José Basketball,Assis,70.7,23.7,35.8,11.2,31.1,10.0,21.1,13.9,15.1,0.952,7.9,25.8,30.093,17.9,31.7,56.376,11.2,18.5,62.224000000000004,1.2,7.8,0.5670000000000001,1.7,18.4,0.094,15.1,1.5,71.1,79.5,28.2,37.4,13.9,33.5,9.6,23.9,10.8,12.1,1.113,9.4,26.4,35.745999999999995,18.7,35.7,52.480999999999995,13.9,20.2,67.087,1.6,5.0,0.45600000000000007,2.8,18.8,0.153,12.1,2.9,79.2
104,109,2010-02-12,11,1,2009-2010,Paulistano,Sesi Franca,76.1,18.3,44.6,13.2,30.3,10.0,20.3,12.3,14.3,0.8899999999999999,6.1,22.8,26.963,22.3,40.9,55.29999999999999,13.2,21.4,61.227999999999994,1.1,7.0,0.505,2.3,22.0,0.11000000000000001,14.3,2.7,70.2,85.8,27.0,38.4,20.4,28.6,7.9,20.7,12.1,11.7,1.0310000000000001,9.0,23.6,38.241,19.2,37.4,52.129999999999995,20.4,26.3,77.505,0.3,7.4,0.639,1.8,22.5,0.083,11.7,2.1,85.3
90,74,2010-02-17,12,1,2009-2010,Coop/São José Basketball,Bauru Basket,73.0,26.7,35.4,10.9,31.7,10.1,21.6,14.8,14.9,1.044,8.9,26.7,33.241,17.7,31.2,56.757000000000005,10.9,17.6,63.99400000000001,1.3,7.1,0.5239999999999999,1.8,18.4,0.099,14.9,1.2,75.5,81.3,26.1,40.4,14.8,30.5,9.2,21.3,12.9,9.8,1.5879999999999999,8.7,20.6,42.81099999999999,20.2,39.3,51.846000000000004,14.8,21.6,68.42799999999998,1.5,6.4,0.76,1.9,15.3,0.135,9.8,2.1,85.4
87,78,2010-02-26,3,2,2009-2010,Paulistano,Espírito Santo,77.7,20.1,43.8,13.8,30.3,10.1,20.2,12.9,14.7,0.9019999999999999,6.7,21.9,29.833999999999996,21.9,41.6,52.894999999999996,13.8,21.3,64.596,1.2,6.8,0.45899999999999996,2.2,21.5,0.10700000000000001,14.7,2.7,72.8,74.8,20.4,39.2,15.2,33.9,11.1,22.8,10.8,13.5,0.841,6.8,21.5,31.949,19.6,39.2,50.55200000000001,15.2,24.0,63.371,2.2,8.5,0.6900000000000001,3.0,19.7,0.148,13.5,3.5,74.4
