placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
78,80,2023-11-03,3,1,2023-2024,Pato Basquete,BRB/Brasília,78.85,28.8,38.1,11.95,37.0,11.4,25.6,16.9,13.05,1.4,9.6,30.75,31.098000000000003,19.05,33.6,56.274,11.95,16.8,69.26000000000002,0.75,8.15,0.66,1.55,20.75,0.07300000000000001,13.05,3.0,88.85,75.7,27.15,31.5,17.05,36.15,10.05,26.1,15.9,17.6,0.9479999999999998,9.05,27.0,32.809,15.75,34.6,45.266000000000005,17.05,23.3,73.10600000000001,1.75,6.65,0.39,1.2,21.95,0.052000000000000005,17.6,4.1,74.95
62,79,2023-11-04,3,1,2023-2024,Botafogo,R10 Score Vasco da Gama,77.45,29.7,34.7,13.05,33.4,8.85,24.55,15.1,14.5,1.0999999999999999,9.9,28.25,34.480000000000004,17.35,32.95,52.557,13.05,18.65,71.03799999999998,1.1,6.4,0.473,2.2,21.9,0.10900000000000001,14.5,3.35,80.5,70.83399999999999,20.8,35.866,14.166000000000002,37.266,11.0,26.266,18.365999999999996,16.734,1.1039999999999999,6.934,25.934000000000005,27.07,17.933999999999997,35.866,50.69199999999999,14.166000000000002,20.934000000000005,67.806,0.8,6.3340000000000005,0.382,1.334,20.0,0.06300000000000001,16.734,2.6,73.6
80,73,2023-11-04,3,1,2023-2024,Paulistano,Fortaleza B. C. / CFO,75.85,23.85,40.4,11.6,40.45,15.4,25.05,14.5,12.85,1.2790000000000001,7.95,26.8,28.736,20.2,41.45,49.102000000000004,11.6,16.2,70.94200000000001,1.7,7.75,0.692,2.8,19.9,0.13900000000000004,12.85,2.4,83.8,77.25,25.05,37.6,14.6,35.5,7.2,28.3,13.05,11.9,1.114,8.35,23.75,35.220000000000006,18.8,37.85,49.791000000000004,14.6,21.5,69.93100000000001,1.8,6.7,0.592,1.1,20.3,0.056999999999999995,11.9,2.7,80.35
67,55,2023-11-06,4,1,2023-2024,Paulistano,UNIFACISA,74.4,20.4,41.4,12.6,41.1,15.8,25.3,14.4,12.7,1.2850000000000001,6.8,25.0,26.792,20.7,43.1,48.048,12.6,17.7,70.399,1.4,7.6,0.688,2.8,20.1,0.13800000000000004,12.7,2.4,81.9,83.2,30.6,38.8,13.8,35.0,9.3,25.7,15.9,11.5,1.5230000000000001,10.2,27.5,36.35600000000001,19.4,35.3,55.258,13.8,19.0,70.80300000000001,1.4,7.5,0.6599999999999999,1.6,19.9,0.08700000000000001,11.5,2.4,93.3
100,69,2023-11-06,4,1,2023-2024,Coop/São José Basketball,Pato Basquete,76.9,26.7,39.2,11.0,36.099000000000004,9.8,26.299,19.599,13.3,1.5010000000000001,8.899,25.999000000000002,34.426,19.6,37.9,51.96900000000001,11.0,16.299,67.884,2.2,5.799,0.434,2.1990000000000003,21.2,0.10800000000000001,13.3,1.6,86.6,77.9,28.5,37.0,12.4,36.7,11.4,25.3,16.1,13.0,1.3279999999999998,9.5,30.7,30.815999999999995,18.5,32.8,56.03099999999999,12.4,16.7,72.053,0.7,7.6,0.608,1.5,20.5,0.072,13.0,2.9,87.0
70,86,2023-11-06,4,1,2023-2024,São Paulo,Fortaleza B. C. / CFO,80.2,33.3,33.8,13.1,32.7,7.9,24.8,15.5,10.8,1.653,11.1,29.5,36.308,16.9,33.6,51.212,13.1,17.0,76.11600000000001,1.1,7.2,0.729,0.9,22.2,0.046,10.8,1.1,86.7,76.3,26.1,36.4,13.8,35.2,7.0,28.2,13.5,12.5,1.105,8.7,23.6,36.76700000000001,18.2,37.0,49.35,13.8,20.0,70.979,1.8,6.4,0.547,1.2,20.0,0.06299999999999999,12.5,2.8,80.2
