placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
103,95,2014-03-15,14,2,2013-2014,Macaé Basquete,Flamengo,84.6,29.1,37.6,17.9,29.0,4.9,24.1,16.3,14.7,1.14,9.7,22.6,43.227,18.8,32.2,58.616,17.9,23.0,77.58800000000001,2.0,8.6,0.5970000000000001,2.3,22.8,0.101,14.7,2.8,94.7,87.3,30.9,39.4,17.0,37.9,10.7,27.2,17.1,11.9,1.629,10.3,26.4,39.722,19.7,34.4,57.86800000000001,17.0,22.8,72.54400000000001,1.9,9.6,0.9349999999999999,1.1,19.6,0.064,11.9,1.4,104.5
61,85,2014-03-17,12,1,2013-2014,Espírito Santo,Sesi Franca,72.8,19.8,36.6,16.4,32.8,11.1,21.7,10.3,12.7,0.906,6.6,22.4,29.163,18.3,39.9,46.314,16.4,21.9,74.469,1.4,9.3,0.771,2.3,22.1,0.10700000000000001,12.7,2.1,71.9,88.0,21.9,49.8,16.3,34.4,12.0,22.4,14.5,13.9,1.105,7.3,19.1,36.866,24.9,43.7,56.42299999999999,16.3,21.3,76.22,3.4,11.4,0.8300000000000001,3.1,19.0,0.16300000000000003,13.9,2.5,101.9
79,84,2014-03-17,14,2,2013-2014,L. Sorocabana,Palmeiras,76.9,24.6,37.0,15.3,29.7,10.1,19.6,13.1,12.2,1.0759999999999998,8.2,24.4,33.284,18.5,37.1,50.262,15.3,18.7,79.83,1.3,9.0,0.7589999999999999,1.7,22.7,0.07300000000000001,12.2,2.7,80.0,79.4,20.1,44.0,15.3,34.4,10.4,24.0,13.9,16.1,0.9280000000000002,6.7,18.8,35.753,22.0,43.2,51.664,15.3,21.2,70.917,1.5,10.8,0.693,2.3,23.2,0.10200000000000001,16.1,2.2,85.5
78,75,2014-03-20,15,2,2013-2014,Fortaleza B. C. / CFO,Macaé Basquete,77.3,20.4,43.8,13.1,38.8,11.9,26.9,13.7,12.9,1.076,6.8,19.5,34.666999999999994,21.9,45.8,47.939,13.1,18.9,70.234,1.7,9.7,0.781,3.0,19.9,0.15500000000000003,12.9,2.9,87.2,82.0,28.2,38.0,15.8,30.3,5.4,24.9,15.6,14.4,1.116,9.4,23.4,40.193,19.0,32.8,58.289,15.8,21.2,74.62100000000001,2.3,8.6,0.6090000000000001,2.0,22.3,0.092,14.4,3.0,90.9
70,85,2014-03-20,15,2,2013-2014,Uberlândia,Bauru Basket,81.8,28.5,38.2,15.1,32.4,8.8,23.6,15.5,10.0,1.762,9.5,25.7,37.592999999999996,19.1,34.5,55.402,15.1,19.9,75.209,2.6,9.9,1.1119999999999999,2.4,18.5,0.129,10.0,1.8,95.6,82.9,29.4,37.4,16.1,35.4,10.3,25.1,14.8,12.3,1.342,9.8,24.8,39.34,18.7,36.9,51.112,16.1,19.8,81.86500000000001,1.9,8.4,0.8009999999999999,2.2,19.1,0.11000000000000001,12.3,2.1,94.5
81,82,2014-03-20,15,2,2013-2014,Sesi Franca,Limeira,88.3,22.2,49.4,16.7,34.2,11.3,22.9,14.3,14.0,1.0799999999999998,7.4,18.8,37.952999999999996,24.7,43.4,56.28799999999999,16.7,21.3,78.72,3.6,11.0,0.793,3.0,18.2,0.16300000000000003,14.0,2.2,102.1,80.2,27.0,39.8,13.4,28.8,7.9,20.9,13.9,10.6,1.641,9.0,22.4,39.830999999999996,19.9,36.0,54.733000000000004,13.4,17.1,80.17699999999999,0.7,10.2,1.17,1.2,20.9,0.05700000000000001,10.6,2.1,90.5
90,91,2014-03-20,15,2,2013-2014,Brasília,Coop/São José Basketball,94.2,40.8,37.2,16.2,37.1,8.4,28.7,19.3,10.6,2.001,13.6,33.7,40.336999999999996,18.6,30.8,61.019999999999996,16.2,20.2,81.197,1.3,8.9,0.9460000000000001,4.1,18.7,0.23099999999999996,10.6,1.6,116.7,82.7,24.0,42.2,16.5,37.1,9.6,27.5,17.3,14.7,1.217,8.0,24.1,33.031,21.1,37.5,56.233000000000004,16.5,21.0,78.245,0.2,9.0,0.6260000000000001,1.7,18.6,0.10200000000000001,14.7,2.5,96.1
100,85,2014-03-22,16,2,2013-2014,Goiânia,Coop/São José Basketball,78.6,24.0,38.0,16.6,32.4,10.1,22.3,14.6,14.3,1.1400000000000001,8.0,20.2,40.228,19.0,37.7,50.731,16.6,22.4,74.414,0.6,8.9,0.615,1.5,20.3,0.078,14.3,3.1,85.0,83.3,24.0,41.4,17.9,35.0,8.8,26.2,17.0,14.9,1.167,8.0,23.4,34.103,20.7,36.5,56.516000000000005,17.9,22.4,78.96000000000001,0.3,9.4,0.6479999999999999,1.5,19.8,0.075,14.9,2.9,95.6
