Temporada,Janela Flutuante,Acurácia média de todas,Acurácia
2008-2009,8-1,0.7205240174672489,
2009-2010,8-1,0.6493506493506493,
2011-2012,8-1,0.6785714285714286,
2012-2013,8-1,0.6257309941520468,
2013-2014,8-1,0.5746753246753247,
2014-2015,8-1,0.6209386281588448,
2015-2016,8-1,0.5910931174089069,
2016-2017,8-1,0.6071428571428571,
2018-2019,8-1,0.6,
2019-2020,8-1,0.542713567839196,
2020-2021,8-1,0.6666666666666666,
2021-2022,8-1,0.6418918918918919,
2022-2023,8-1,0.6282894736842105,
2023-2024,8-1,0.6455026455026455,
Média/Desvio Padrão,8-1,,"Média: 0.65, Desvio Padrão: 0.00"
