Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
64-1,2008-2009,0.77,-,0.77,-
64-1,2009-2010,0.67,-,0.67,-
64-1,2011-2012,0.80,-,0.80,-
64-1,2012-2013,0.73,-,0.73,-
64-1,2013-2014,0.73,-,0.73,-
64-1,2014-2015,0.77,-,0.77,-
64-1,2015-2016,0.73,-,0.73,-
64-1,2016-2017,0.76,-,0.76,-
64-1,2018-2019,0.75,-,0.75,-
64-1,2019-2020,0.73,-,0.73,-
64-1,2020-2021,0.74,-,0.74,-
64-1,2021-2022,0.78,-,0.78,-
64-1,2022-2023,0.74,-,0.74,-
64-1,2023-2024,0.76,-,0.76,-
64-1,-,0.75,0.03,0.75,0.03
64-2,2008-2009,0.78,-,0.77,-
64-2,2009-2010,0.69,-,0.66,-
64-2,2011-2012,0.79,-,0.79,-
64-2,2012-2013,0.74,-,0.74,-
64-2,2013-2014,0.74,-,0.73,-
64-2,2014-2015,0.76,-,0.77,-
64-2,2015-2016,0.74,-,0.72,-
64-2,2016-2017,0.76,-,0.75,-
64-2,2018-2019,0.74,-,0.74,-
64-2,2019-2020,0.74,-,0.75,-
64-2,2020-2021,0.76,-,0.75,-
64-2,2021-2022,0.78,-,0.76,-
64-2,2022-2023,0.76,-,0.75,-
64-2,2023-2024,0.75,-,0.75,-
64-2,-,0.75,0.02,0.74,0.03
64-3,2008-2009,0.79,-,0.77,-
64-3,2009-2010,0.69,-,0.66,-
64-3,2011-2012,0.79,-,0.78,-
64-3,2012-2013,0.73,-,0.73,-
64-3,2013-2014,0.73,-,0.72,-
64-3,2014-2015,0.76,-,0.76,-
64-3,2015-2016,0.74,-,0.72,-
64-3,2016-2017,0.76,-,0.75,-
64-3,2018-2019,0.73,-,0.73,-
64-3,2019-2020,0.74,-,0.75,-
64-3,2020-2021,0.77,-,0.76,-
64-3,2021-2022,0.78,-,0.76,-
64-3,2022-2023,0.76,-,0.75,-
64-3,2023-2024,0.75,-,0.75,-
64-3,-,0.75,0.03,0.74,0.03
64-4,2008-2009,0.80,-,0.78,-
64-4,2009-2010,0.70,-,0.66,-
64-4,2011-2012,0.78,-,0.77,-
64-4,2012-2013,0.73,-,0.73,-
64-4,2013-2014,0.74,-,0.73,-
64-4,2014-2015,0.77,-,0.76,-
64-4,2015-2016,0.74,-,0.73,-
64-4,2016-2017,0.75,-,0.74,-
64-4,2018-2019,0.73,-,0.72,-
64-4,2019-2020,0.75,-,0.75,-
64-4,2020-2021,0.76,-,0.76,-
64-4,2021-2022,0.77,-,0.76,-
64-4,2022-2023,0.76,-,0.74,-
64-4,2023-2024,0.75,-,0.75,-
64-4,-,0.75,0.02,0.74,0.03
64-6,2008-2009,0.80,-,0.78,-
64-6,2009-2010,0.70,-,0.66,-
64-6,2011-2012,0.78,-,0.77,-
64-6,2012-2013,0.74,-,0.73,-
64-6,2013-2014,0.74,-,0.74,-
64-6,2014-2015,0.76,-,0.75,-
64-6,2015-2016,0.74,-,0.73,-
64-6,2016-2017,0.75,-,0.74,-
64-6,2018-2019,0.74,-,0.72,-
64-6,2019-2020,0.74,-,0.74,-
64-6,2020-2021,0.77,-,0.76,-
64-6,2021-2022,0.78,-,0.77,-
64-6,2022-2023,0.76,-,0.75,-
64-6,2023-2024,0.74,-,0.74,-
64-6,-,0.75,0.02,0.74,0.03
64-8,2008-2009,0.79,-,0.78,-
64-8,2009-2010,0.70,-,0.67,-
64-8,2011-2012,0.77,-,0.76,-
64-8,2012-2013,0.73,-,0.73,-
64-8,2013-2014,0.75,-,0.74,-
64-8,2014-2015,0.76,-,0.75,-
64-8,2015-2016,0.74,-,0.73,-
64-8,2016-2017,0.75,-,0.75,-
64-8,2018-2019,0.75,-,0.73,-
64-8,2019-2020,0.73,-,0.73,-
64-8,2020-2021,0.77,-,0.76,-
64-8,2021-2022,0.78,-,0.77,-
64-8,2022-2023,0.76,-,0.75,-
64-8,2023-2024,0.74,-,0.74,-
64-8,-,0.75,0.02,0.74,0.03
64-16,2008-2009,0.80,-,0.79,-
64-16,2009-2010,0.69,-,0.66,-
64-16,2011-2012,0.76,-,0.75,-
64-16,2012-2013,0.73,-,0.72,-
64-16,2013-2014,0.75,-,0.74,-
64-16,2014-2015,0.76,-,0.75,-
64-16,2015-2016,0.74,-,0.73,-
64-16,2016-2017,0.76,-,0.75,-
64-16,2018-2019,0.74,-,0.73,-
64-16,2019-2020,0.75,-,0.74,-
64-16,2020-2021,0.76,-,0.75,-
64-16,2021-2022,0.77,-,0.76,-
64-16,2022-2023,0.75,-,0.74,-
64-16,2023-2024,0.73,-,0.73,-
64-16,-,0.75,0.02,0.74,0.03
64-32,2008-2009,0.80,-,0.79,-
64-32,2009-2010,0.68,-,0.65,-
64-32,2011-2012,0.76,-,0.74,-
64-32,2012-2013,0.73,-,0.72,-
64-32,2013-2014,0.74,-,0.74,-
64-32,2014-2015,0.76,-,0.75,-
64-32,2015-2016,0.73,-,0.72,-
64-32,2016-2017,0.75,-,0.74,-
64-32,2018-2019,0.73,-,0.72,-
64-32,2019-2020,0.76,-,0.76,-
64-32,2020-2021,0.75,-,0.74,-
64-32,2021-2022,0.76,-,0.75,-
64-32,2022-2023,0.74,-,0.73,-
64-32,2023-2024,0.73,-,0.73,-
64-32,-,0.75,0.02,0.73,0.03
