Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
32-2,2018-2019,0.73,-,0.73,-
32-2,2019-2020,0.62,-,0.62,-
32-2,2020-2021,0.71,-,0.70,-
32-2,2021-2022,0.71,-,0.70,-
32-2,2022-2023,0.68,-,0.68,-
32-2,2023-2024,0.71,-,0.69,-
32-2,-,0.69,0.04,0.69,0.04
32-3,2008-2009,0.76,-,0.75,-
32-3,2009-2010,0.69,-,0.67,-
32-3,2011-2012,0.71,-,0.71,-
32-3,2012-2013,0.66,-,0.67,-
32-3,2013-2014,0.68,-,0.67,-
32-3,2014-2015,0.69,-,0.69,-
32-3,2015-2016,0.70,-,0.69,-
32-3,2016-2017,0.59,-,0.59,-
32-3,2018-2019,0.74,-,0.71,-
32-3,2019-2020,0.65,-,0.65,-
32-3,2020-2021,0.70,-,0.70,-
32-3,2021-2022,0.68,-,0.66,-
32-3,2022-2023,0.67,-,0.66,-
32-3,2023-2024,0.69,-,0.68,-
32-3,-,0.69,0.04,0.68,0.04
32-4,2008-2009,0.76,-,0.76,-
32-4,2009-2010,0.70,-,0.70,-
32-4,2011-2012,0.74,-,0.73,-
32-4,2012-2013,0.70,-,0.70,-
32-4,2013-2014,0.70,-,0.69,-
32-4,2014-2015,0.70,-,0.67,-
32-4,2015-2016,0.69,-,0.67,-
32-4,2016-2017,0.59,-,0.58,-
32-4,2018-2019,0.70,-,0.69,-
32-4,2019-2020,0.63,-,0.64,-
32-4,2020-2021,0.71,-,0.72,-
32-4,2021-2022,0.70,-,0.69,-
32-4,2022-2023,0.69,-,0.68,-
32-4,2023-2024,0.68,-,0.67,-
32-4,-,0.69,0.04,0.68,0.04
64-1,2008-2009,0.82,-,0.82,-
64-1,2009-2010,0.71,-,0.71,-
64-1,2011-2012,0.78,-,0.78,-
64-1,2012-2013,0.72,-,0.72,-
64-1,2013-2014,0.71,-,0.71,-
64-1,2014-2015,0.68,-,0.68,-
64-1,2015-2016,0.72,-,0.72,-
64-1,2016-2017,0.69,-,0.69,-
64-1,2018-2019,0.74,-,0.74,-
64-1,2019-2020,0.71,-,0.71,-
64-1,2020-2021,0.72,-,0.72,-
64-1,2021-2022,0.76,-,0.76,-
64-1,2022-2023,0.71,-,0.71,-
64-1,2023-2024,0.75,-,0.75,-
64-1,-,0.73,0.03,0.73,0.03
64-2,2008-2009,0.81,-,0.80,-
64-2,2009-2010,0.71,-,0.72,-
64-2,2011-2012,0.77,-,0.77,-
64-2,2012-2013,0.73,-,0.73,-
64-2,2013-2014,0.72,-,0.70,-
64-2,2014-2015,0.68,-,0.68,-
64-2,2015-2016,0.72,-,0.72,-
64-2,2016-2017,0.70,-,0.69,-
64-2,2018-2019,0.76,-,0.75,-
64-2,2019-2020,0.70,-,0.70,-
64-2,2020-2021,0.69,-,0.69,-
64-2,2021-2022,0.78,-,0.77,-
64-2,2022-2023,0.72,-,0.72,-
64-2,2023-2024,0.75,-,0.74,-
64-2,-,0.73,0.03,0.73,0.04
64-3,2008-2009,0.81,-,0.81,-
64-3,2009-2010,0.69,-,0.72,-
64-3,2011-2012,0.78,-,0.79,-
64-3,2012-2013,0.72,-,0.71,-
64-3,2013-2014,0.71,-,0.70,-
64-3,2014-2015,0.68,-,0.67,-
64-3,2015-2016,0.73,-,0.73,-
64-3,2016-2017,0.72,-,0.70,-
64-3,2018-2019,0.74,-,0.75,-
64-3,2019-2020,0.73,-,0.72,-
64-3,2020-2021,0.72,-,0.72,-
64-3,2021-2022,0.76,-,0.75,-
64-3,2022-2023,0.72,-,0.71,-
64-3,2023-2024,0.76,-,0.76,-
64-3,-,0.73,0.03,0.73,0.04
64-4,2008-2009,0.81,-,0.80,-
64-4,2009-2010,0.73,-,0.73,-
64-4,2011-2012,0.79,-,0.79,-
64-4,2012-2013,0.72,-,0.71,-
64-4,2013-2014,0.73,-,0.72,-
64-4,2014-2015,0.70,-,0.68,-
64-4,2015-2016,0.71,-,0.69,-
64-4,2016-2017,0.71,-,0.70,-
64-4,2018-2019,0.74,-,0.73,-
64-4,2019-2020,0.71,-,0.72,-
64-4,2020-2021,0.70,-,0.70,-
64-4,2021-2022,0.74,-,0.72,-
64-4,2022-2023,0.74,-,0.74,-
64-4,2023-2024,0.75,-,0.74,-
64-4,-,0.73,0.03,0.73,0.03
128-1,2008-2009,0.83,-,0.83,-
128-1,2009-2010,0.71,-,0.71,-
128-1,2011-2012,0.77,-,0.77,-
128-1,2012-2013,0.75,-,0.75,-
128-1,2013-2014,0.79,-,0.79,-
128-1,2014-2015,0.76,-,0.76,-
128-1,2015-2016,0.76,-,0.76,-
128-1,2016-2017,0.76,-,0.76,-
128-1,2018-2019,0.74,-,0.74,-
128-1,2019-2020,0.77,-,0.77,-
128-1,2020-2021,0.84,-,0.84,-
128-1,2021-2022,0.83,-,0.83,-
128-1,2022-2023,0.79,-,0.79,-
128-1,2023-2024,0.80,-,0.80,-
128-1,-,0.78,0.04,0.78,0.04
128-2,2008-2009,0.82,-,0.81,-
128-2,2009-2010,0.68,-,0.71,-
128-2,2011-2012,0.77,-,0.76,-
128-2,2012-2013,0.76,-,0.74,-
128-2,2013-2014,0.77,-,0.77,-
128-2,2014-2015,0.78,-,0.77,-
128-2,2015-2016,0.74,-,0.73,-
