placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
86,73,2011-12-03,6,1,2011-2012,Uberlândia,Minas,88.8,24.6,48.4,15.8,28.0,5.0,23.0,17.4,10.8,1.7280000000000002,8.2,22.2,35.764,24.2,41.8,58.88399999999999,15.8,18.8,82.358,3.6,8.6,0.8960000000000001,3.4,16.6,0.24,10.8,1.8,100.8,77.2,18.6,46.0,12.6,30.2,9.3,20.9,15.5,12.6,1.2740000000000002,6.2,18.6,32.42399999999999,23.0,41.7,55.32000000000001,12.6,16.8,76.02,0.8,7.4,0.571,3.6,19.6,0.19499999999999998,12.6,2.0,86.0
95,104,2011-12-03,6,1,2011-2012,Sesi Franca,Brasília,77.7,23.7,37.6,16.4,29.9,7.9,22.0,14.5,13.8,1.121,7.9,20.5,38.206,18.8,40.1,47.629999999999995,16.4,22.0,73.51899999999999,0.4,7.0,0.558,1.6,20.3,0.08,13.8,2.3,77.4,87.4,22.8,49.0,15.6,30.5,8.5,22.0,15.7,12.0,1.4469999999999998,7.6,22.7,32.71900000000001,24.5,38.6,63.366,15.6,19.8,79.68100000000001,1.7,8.4,0.852,2.6,19.6,0.138,12.0,2.3,99.2
90,107,2011-12-03,6,1,2011-2012,Araraquara,Paulistano,84.3,23.1,45.0,16.2,29.3,8.6,20.7,15.4,13.2,1.2049999999999998,7.7,22.3,34.04600000000001,22.5,41.7,53.78700000000001,16.2,20.3,79.58900000000001,1.5,7.4,0.58,2.3,22.5,0.11000000000000003,13.2,2.0,87.6,86.1,23.1,49.2,13.8,31.0,10.1,20.9,13.9,13.0,1.193,7.7,21.0,36.33,24.6,42.9,57.299,13.8,18.1,74.652,1.8,7.9,0.6459999999999999,1.7,22.2,0.07799999999999999,13.0,1.6,91.7
93,55,2011-12-03,6,1,2011-2012,Flamengo,L. Sorocabana,91.8,30.9,46.6,14.3,30.8,5.5,25.3,15.2,11.9,1.3980000000000001,10.3,23.0,42.193,23.3,38.0,61.181999999999995,14.3,18.9,73.434,2.0,8.1,0.732,1.2,19.6,0.06500000000000002,11.9,3.1,103.2,72.33333333333333,23.0,35.333333333333336,14.0,31.333333333333332,13.0,18.333333333333332,8.0,13.333333333333334,0.6,7.666666666666667,19.0,39.95666666666667,17.666666666666668,34.0,52.669999999999995,14.0,20.666666666666668,67.36333333333334,0.6666666666666666,8.0,0.6033333333333334,1.3333333333333333,18.666666666666668,0.08,13.333333333333334,3.0,73.33333333333333
76,72,2011-12-03,6,1,2011-2012,Joinville,Espírito Santo,72.5,20.7,38.2,13.6,28.5,8.5,20.0,11.6,15.0,0.8860000000000001,6.9,21.7,32.148,19.1,38.1,50.803,13.6,19.1,72.63000000000001,1.3,7.5,0.5820000000000001,2.2,20.3,0.10800000000000001,15.0,2.6,68.0,67.1,22.8,31.4,12.9,27.5,9.0,18.5,9.4,13.7,0.6880000000000001,7.6,22.3,33.403,15.7,34.9,45.462,12.9,19.1,69.80199999999999,1.6,6.8,0.531,1.2,20.1,0.067,13.7,3.4,58.2
91,80,2011-12-08,7,1,2011-2012,L. Sorocabana,Uberlândia,68.0,21.0,33.0,14.0,30.5,12.25,18.25,6.75,13.25,0.5075000000000001,7.0,20.25,35.175,16.5,33.5,49.66,14.0,19.5,72.39750000000001,0.5,7.25,0.5475,1.0,19.0,0.060000000000000005,13.25,2.75,64.5,88.33333333333333,25.0,48.333333333333336,15.0,28.0,5.333333333333333,22.666666666666668,18.666666666666668,11.0,1.7866666666666668,8.333333333333334,21.833333333333332,37.303333333333335,24.166666666666668,41.5,59.06999999999999,15.0,18.166666666666668,80.85333333333334,4.666666666666667,8.166666666666666,0.8300000000000001,3.0,16.5,0.21,11.0,1.6666666666666667,101.16666666666667
92,82,2011-12-08,7,1,2011-2012,Bauru Basket,Sesi Franca,87.0,29.4,44.0,13.6,33.1,11.1,22.0,14.9,10.9,1.6740000000000002,9.8,23.2,43.251000000000005,22.0,41.2,54.370999999999995,13.6,17.8,76.365,2.0,5.6,0.657,1.7,16.5,0.101,10.9,2.1,94.6,78.1,24.6,37.8,15.7,29.4,8.2,21.2,14.6,14.2,1.082,8.2,20.7,39.03,18.9,41.3,46.074,15.7,20.5,76.376,0.4,6.8,0.512,1.5,20.5,0.07500000000000002,14.2,2.5,76.5
54,86,2011-12-08,7,1,2011-2012,Espírito Santo,Pinheiros,67.1,22.5,30.8,13.8,28.7,9.9,18.8,8.4,14.2,0.5970000000000002,7.5,22.2,33.087,15.4,35.3,43.978,13.8,20.2,69.78099999999999,1.5,7.0,0.5349999999999999,1.6,20.6,0.082,14.2,3.2,57.6,90.9,28.8,46.0,16.1,31.6,9.2,22.4,16.4,13.2,1.312,9.6,23.1,42.001999999999995,23.0,41.1,55.69000000000001,16.1,21.3,75.319,3.3,8.1,0.642,3.0,18.0,0.16799999999999998,13.2,3.3,100.0
