placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
70,83,2023-12-07,8,1,2023-2024,São Paulo,Flamengo,77.667,24.6,38.733,14.332999999999998,33.132999999999996,8.4,24.732999999999997,16.233,10.267,1.593,8.2,24.933,32.81699999999999,19.366999999999997,34.933,55.010000000000005,14.332999999999998,17.833,79.68800000000002,1.1,5.167,0.499,2.2329999999999997,19.133,0.126,10.267,1.567,88.36699999999999,83.9,28.5,39.9,15.5,38.85,12.6,26.25,20.15,12.0,1.784,9.5,30.8,31.068,19.95,34.3,58.298,15.5,20.1,77.21700000000001,2.2,8.35,0.7070000000000001,1.7,17.35,0.09900000000000002,12.0,2.5,100.7
100,77,2023-12-07,8,1,2023-2024,Sesi Franca,BRB/Brasília,85.967,27.6,43.468,14.899000000000001,39.834,11.467,28.368000000000002,20.199,14.034,1.48,9.2,26.932,34.583,21.732,36.901,58.795,14.899000000000001,19.532,76.495,2.3,7.133,0.521,3.068,17.767000000000003,0.187,14.034,2.768,104.63199999999999,71.8,27.6,32.533,11.667,32.967,9.433,23.532999999999998,13.267,12.8,1.0699999999999998,9.2,26.867,34.325,16.267000000000003,36.6,44.715,11.667,17.467000000000002,66.27900000000001,1.1,7.333,0.5960000000000001,1.4,20.6,0.069,12.8,2.6670000000000003,70.167
75,69,2023-12-07,8,1,2023-2024,Pinheiros,Mogi,77.3,29.1,37.8,10.4,38.0,11.3,26.7,17.1,14.9,1.237,9.7,27.9,35.053999999999995,18.9,35.3,53.629,10.4,16.5,63.165,1.2,5.1,0.358,1.4,18.2,0.07700000000000003,14.9,2.3,83.3,74.901,31.35,29.901000000000003,13.65,30.551000000000005,8.551,22.0,17.05,14.499,1.18,10.451,28.698999999999995,36.371,14.949000000000002,27.35,54.681000000000004,13.65,18.250999999999998,75.748,0.399,5.251,0.36200000000000004,1.4,22.6,0.06,14.499,3.099,79.401
