placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
79,74,2022-11-21,6,1,2022-2023,Flamengo,União Corinthians,80.6,34.5,34.0,12.1,43.8,13.0,30.8,19.5,12.3,1.6720000000000002,11.5,35.7,32.394,17.0,30.5,56.15599999999999,12.1,17.5,70.30799999999999,1.9,5.2,0.433,2.2,17.1,0.13099999999999998,12.3,2.1,95.9,76.201,32.7,33.398999999999994,10.099,34.3,9.401,24.898999999999994,16.8,12.7,1.421,10.899,31.301000000000005,34.14,16.701,35.099,47.431000000000004,10.099,13.999,74.21099999999998,1.3,6.3,0.5159999999999999,1.8,20.1,0.08800000000000001,12.7,2.1990000000000003,80.00099999999999
86,74,2022-11-22,6,1,2022-2023,Pinheiros,Rio Claro,79.8,27.9,38.6,13.3,43.8,13.7,30.1,18.2,12.3,1.5259999999999998,9.3,28.7,32.963,19.3,41.4,46.698,13.3,17.5,74.761,1.2,6.8,0.5849999999999999,2.9,16.9,0.18,12.3,1.5,93.5,75.5,20.1,42.6,12.8,34.9,10.6,24.3,12.9,11.6,1.2309999999999999,6.7,21.9,28.887,21.3,41.3,52.25600000000001,12.8,17.3,74.488,2.4,5.6,0.5509999999999999,1.9,21.3,0.08700000000000001,11.6,2.4,79.5
78,88,2022-11-22,6,1,2022-2023,Bauru Basket,Sesi Franca,75.3,28.2,36.4,10.7,35.2,10.6,24.6,16.1,10.6,1.717,9.4,30.2,31.195000000000004,18.2,34.9,52.03099999999999,10.7,15.0,72.047,1.6,6.1,0.6519999999999999,2.2,17.3,0.137,10.6,2.0,82.5,87.0,35.1,36.4,15.5,43.8,10.9,32.9,17.2,13.1,1.427,11.7,30.6,38.42200000000001,18.2,32.4,56.600999999999985,15.5,21.4,72.813,1.4,5.0,0.42300000000000004,2.0,16.6,0.124,13.1,2.4,102.9
104,53,2022-11-23,6,1,2022-2023,Minas,Coop/São José Basketball,83.6,28.5,42.4,12.7,39.1,10.1,29.0,19.1,14.8,1.3370000000000002,9.5,25.6,37.29,21.2,37.8,55.604,12.7,16.1,78.77999999999999,2.4,6.2,0.43900000000000006,2.1,19.6,0.11100000000000002,14.8,3.9,99.2,82.8,30.0,42.4,10.4,36.3,8.65,27.65,22.15,13.0,1.7109999999999999,10.0,28.25,35.628,21.2,35.4,59.31,10.4,14.3,73.33899999999998,1.25,6.15,0.476,2.2,17.9,0.12399999999999997,13.0,2.5,100.25
89,79,2022-11-23,6,1,2022-2023,UNIFACISA,Pato Basquete,77.2,26.1,40.8,10.3,34.4,8.8,25.6,14.3,13.2,1.126,8.7,23.7,35.659,20.4,39.6,51.854,10.3,14.9,69.65200000000002,1.5,7.0,0.577,1.6,22.1,0.07300000000000002,13.2,2.7,82.5,70.25,26.7,33.0,10.55,33.65,9.5,24.15,12.6,13.25,0.9620000000000001,8.9,29.55,30.701999999999998,16.5,34.4,48.087,10.55,16.9,63.023,1.0,8.4,0.636,0.9,18.65,0.048,13.25,3.45,67.65
70,86,2022-11-23,6,1,2022-2023,Caxias do Sul Basquete,São Paulo,70.8,25.5,34.4,10.9,34.7,9.6,25.1,13.3,13.0,1.084,8.5,26.8,31.441999999999997,17.2,35.5,47.87299999999999,10.9,14.9,72.22200000000001,0.4,7.5,0.6050000000000001,2.2,18.7,0.12100000000000002,13.0,2.0,74.9,81.0,31.5,36.6,12.9,34.7,8.5,26.2,15.4,11.7,1.345,10.5,30.8,34.075,18.3,33.2,55.63000000000001,12.9,18.0,72.18,0.5,7.7,0.676,1.1,19.7,0.052000000000000005,11.7,1.6,87.9
77,81,2022-11-23,6,1,2022-2023,Fortaleza B. C. / CFO,Corinthians,69.55,19.05,41.3,9.2,43.4,12.95,30.45,12.85,14.2,0.9560000000000001,6.35,24.75,25.296,20.65,42.75,48.089,9.2,18.4,51.293000000000006,1.6,8.4,0.62,2.65,21.0,0.12800000000000006,14.2,2.3,72.95,78.5,25.5,39.9,13.1,39.75,11.05,28.7,16.8,15.0,1.189,8.5,27.4,30.716,19.95,34.7,57.205999999999996,13.1,17.15,75.66799999999999,3.25,5.95,0.4119999999999999,3.7,18.85,0.202,15.0,3.9,92.0
71,93,2022-11-25,6,1,2022-2023,União Corinthians,São Paulo,75.051,34.8,31.798999999999996,8.449,33.25,8.401,24.848999999999997,17.45,12.95,1.447,11.599,32.101000000000006,35.952,15.901,34.04899999999999,46.668000000000006,8.449,11.349,75.287,1.25,6.0,0.4760000000000001,1.8,20.4,0.08600000000000002,12.95,2.349,79.051,82.15,31.95,37.5,12.7,35.7,8.85,26.85,16.15,11.8,1.409,10.65,30.45,35.082,18.75,34.4,54.96,12.7,16.9,74.701,0.55,7.55,0.6540000000000001,1.2,19.25,0.05900000000000001,11.8,1.7,91.3
